trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate
19,0,19,0,51.83326735,52.83402133,52.83402133,up,0,0.357789846,-3,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
20,0,20,0,53.21610486,54.21537769,54.21537769,down,0,0.447656604,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
21,0,21,0,54.68509509,55.68292052,55.70042824,up,1,0.309184546,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
22,0,22,0,56.01621164,57.0172052,57.0172052,up,1,0.389587876,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
23,0,23,0,57.43195638,58.43333703,58.43333703,down,1,0.379413094,1,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
24,0,24,0,58.83282949,59.83262228,59.83262228,up,0,0.287811162,2,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
25,0,25,0,60.14875434,61.14989061,61.14989061,up,0,0.434027952,-2,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
26,0,26,0,61.60207712,62.59841449,62.61616458,up,0,0.400918333,1,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
27,0,27,0,63.01804221,64.01585495,64.03362181,down,0,0.323279728,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
28,0,28,0,64.36564113,65.36609104,65.36609104,down,0,0.363726797,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
29,0,29,0,65.75171243,66.74995576,66.76605499,up,1,0.267679468,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
30,0,30,0,67.03595776,68.03208005,68.04984744,down,1,0.355012774,4,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
31,0,31,0,68.4151459,69.41696376,69.41696376,down,1,0.273234031,-2,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
32,0,32,0,69.71534811,70.71706287,70.71706287,up,1,0.295152889,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
33,0,33,0,71.03485844,72.03256041,72.04930299,up,1,0.393347157,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
34,0,34,0,72.45039064,73.44895385,73.44895385,up,1,0.385997503,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
35,0,35,0,73.86483277,74.8669091,74.8669091,up,0,0.331049915,-2,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
36,0,36,0,75.21691906,76.21596825,76.2337561,up,1,0.340233127,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
37,0,37,0,76.58315691,77.58176129,77.58176129,down,0,0.350468063,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
38,0,38,0,77.95137867,78.948285,78.96712717,up,1,0.269909746,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
39,0,39,0,79.25013854,80.25024843,80.25024843,up,1,0.295224876,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
40,0,40,0,80.56566133,81.56634783,81.56634783,down,0,0.275110422,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
